Frase;Dialecto;Lugar;Verbo
urazan bare bat aurkitu zuelako nazka-aurpegia jarri eban;Mendebaldekoa;Busturia;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri suan;Mendebaldekoa;Deba;True
urazan bara bat aurkitu zuelako nazka-aurpegia jarri euen;Mendebaldekoa;Dima;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zien;Zuberotarra;Domintxaine;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Nafarra;Donamaria;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuen;Nafar-Lapurtarra;Donibane Lohizune;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuen;Nafarra;Dorrao / Torrano;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri eban;Mendebaldekoa;Elantxobe;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Erdialdekoa;Elduain;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri saban;Mendebaldekoa;Elgoibar;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri eban;Mendebaldekoa;Elorrio;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuan;Erdialdekoa;Errezil;True
urazan baresis bat aurkitu zuelako nazka-aurpegia jarri zuan;Erdialdekoa;Errezil;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri oan;Mendebaldekoa;Errigoiti;True
urazan mahanka bat aurkitu zuelako nazka-aurpegia jarri zin;Zuberotarra;Eskiula;True
urazan bae bat aurkitu zuelako nazka-aurpegia jarri zin;Zuberotarra;Eskiula;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Nafarra;Etxalar;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Nafarra;Etxaleku;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Nafarra;Etxarri (Larraun);True
urazan mare bat aurkitu zuelako nazka-aurpegia jarri zuen;Nafarra;Eugi;True
urazan bara bat aurkitu zuelako nazka-aurpegia jarri zon;Erdialdekoa;Ezkio-Itsaso;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Nafarra;Ezkurra;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zien;Nafar-Lapurtarra;Ezterenzubi;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Nafarra;Gaintza;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zien;Nafar-Lapurtarra;Gamarte;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri euen;Mendebaldekoa;Gamiz-Fika;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuen;Nafar-Lapurtarra;Garrüze;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuan;Erdialdekoa;Getaria;True
urazan bara bat aurkitu zuelako nazka-aurpegia jarri euen;Mendebaldekoa;Getxo;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri uan;Mendebaldekoa;Gizaburuaga;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Nafarra;Goizueta;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zien;Nafar-Lapurtarra;Hazparne;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuen;Nafar-Lapurtarra;Hendaia;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri suen;Erdialdekoa;Hondarribia;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri eban;Mendebaldekoa;Ibarruri (Muxika);True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Nafarra;Igoa;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Erdialdekoa;Ikaztegieta;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri ziin;Nafar-Lapurtarra;Irisarri;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zien;Nafar-Lapurtarra;Itsasu;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zin;Nafar-Lapurtarra;Izturitze;True
urazan baranga bat aurkitu zuelako nazka-aurpegia jarri zuen;Nafarra;Jaurrieta;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zien;Nafar-Lapurtarra;Jutsi;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zien;Nafar-Lapurtarra;Jutsi;True
urazan bara bat aurkitu zuelako nazka-aurpegia jarri eban;Mendebaldekoa;Kortezubi;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zin;Nafar-Lapurtarra;Landibarre;True
urazan bara bat aurkitu zuelako nazka-aurpegia jarri euen;Mendebaldekoa;Larrabetzu;True
urazan barakarro bat aurkitu zuelako nazka-aurpegia jarri euen;Mendebaldekoa;Larrabetzu;True
urazan bahanka bat aurkitu zuelako nazka-aurpegia jarri zien;Zuberotarra;Larraine;True
urazan bahe bat aurkitu zuelako nazka-aurpegia jarri zien;Zuberotarra;Larraine;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zien;Nafar-Lapurtarra;Larzabale;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri eun;Mendebaldekoa;Laukiz;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri eun;Mendebaldekoa;Laukiz;True
urazan bara bat aurkitu zuelako nazka-aurpegia jarri zon;Erdialdekoa;Legazpi;True
urazan bara bat aurkitu zuelako nazka-aurpegia jarri eben;Mendebaldekoa;Leintz Gatzaga;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri eben;Mendebaldekoa;Leintz Gatzaga;True
urazan barakil bat aurkitu zuelako nazka-aurpegia jarri un;Mendebaldekoa;Leioa;True
urazan barémosto bat aurkitu zuelako nazka-aurpegia jarri un;Mendebaldekoa;Leioa;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri un;Mendebaldekoa;Leioa;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Nafarra;Leitza;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuen;Nafarra;Lekaroz;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri eban;Mendebaldekoa;Lekeitio;True
urazan bara bat aurkitu zuelako nazka-aurpegia jarri auen;Mendebaldekoa;Lemoa;True
urazan barakarro bat aurkitu zuelako nazka-aurpegia jarri auen;Mendebaldekoa;Lemoa;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri eun;Mendebaldekoa;Lemoiz;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuen;Nafarra;Luzaide / Valcarlos;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuen;Nafar-Lapurtarra;Makea;True
urazan bara bat aurkitu zuelako nazka-aurpegia jarri eban;Mendebaldekoa;Mañaria;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri soan;Mendebaldekoa;Mendaro;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri eban;Mendebaldekoa;Mendata;True
urazan bahe bat aurkitu zuelako nazka-aurpegia jarri zin;Zuberotarra;Montori;True
urazan barhanka bat aurkitu zuelako nazka-aurpegia jarri zin;Zuberotarra;Montori;True
urazan limaza bat aurkitu zuelako nazka-aurpegia jarri zin;Zuberotarra;Montori;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zin;Nafar-Lapurtarra;Mugerre;True
urazan limaza bat aurkitu zuelako nazka-aurpegia jarri zin;Nafar-Lapurtarra;Mugerre;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri euen;Mendebaldekoa;Mungia;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Nafarra;Oderitz;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuan;Erdialdekoa;Oiartzun;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri eben;Mendebaldekoa;Oñati;True
urazan baba bat aurkitu zuelako nazka-aurpegia jarri eban;Mendebaldekoa;Ondarroa;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Erdialdekoa;Orexa;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Erdialdekoa;Orio;True
urazan barakarro bat aurkitu zuelako nazka-aurpegia jarri euen;Mendebaldekoa;Orozko;True
urazan bara bat aurkitu zuelako nazka-aurpegia jarri euen;Mendebaldekoa;Orozko;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri eban;Mendebaldekoa;Otxandio;True
urazan bahe bat aurkitu zuelako nazka-aurpegia jarri zin;Zuberotarra;Pagola;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuen;Erdialdekoa;Pasaia;True
urazan bahanka bat aurkitu zuelako nazka-aurpegia jarri zian;Zuberotarra;Santa Grazi;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuen;Nafar-Lapurtarra;Sara;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuen;Nafar-Lapurtarra;Senpere;True
urazan barhe bat aurkitu zuelako nazka-aurpegia jarri zin;Zuberotarra;Sohüta;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri eun;Mendebaldekoa;Sondika;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuen;Nafarra;Suarbe;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Nafarra;Sunbilla;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zun;Erdialdekoa;Tolosa;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zien;Nafar-Lapurtarra;Uharte Garazi;True
urazan bara bat aurkitu zuelako nazka-aurpegia jarri zen;Nafarra;Urdiain;True
urazan bahe bat aurkitu zuelako nazka-aurpegia jarri zin;Zuberotarra;Urdiñarbe;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zin;Nafar-Lapurtarra;Urketa;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zon;Erdialdekoa;Urretxu;True
urazan barhe bat aurkitu zuelako nazka-aurpegia jarri zien;Zuberotarra;Ürrüstoi;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuin;Nafar-Lapurtarra;Uztaritze;True
urazan bara bat aurkitu zuelako nazka-aurpegia jarri un;Mendebaldekoa;Zaratamo;True
urazan barakarro bat aurkitu zuelako nazka-aurpegia jarri un;Mendebaldekoa;Zaratamo;True
urazan barakarro bat aurkitu zuelako nazka-aurpegia jarri oan;Mendebaldekoa;Zeanuri;True
urazan barakarro bat aurkitu zuelako nazka-aurpegia jarri ouen;Mendebaldekoa;Zeberio;True
urazan bara bat aurkitu zuelako nazka-aurpegia jarri zon;Erdialdekoa;Zegama;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuen;Nafarra;Zilbeti;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuen;Nafarra;Zilbeti;True
urazan bara bat aurkitu zuelako nazka-aurpegia jarri euen;Mendebaldekoa;Zornotza;True
urazan bare bat aurkitu zuelako nazka-aurpegia jarri zuen;Nafarra;Zugarramurdi;True
ilea luzatzen zaidanean barekurkuilo geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Ahetze;False
ilea luzatzen zaidanean baekurrillo geratzen zaizkit bekoki gainean;Erdialdekoa;Aia;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Aldude;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Nafarra;Alkotz;False
ilea luzatzen zaidanean kakolla geratzen zaizkit bekoki gainean;Zuberotarra;Altzai;False
ilea luzatzen zaidanean kakoll geratzen zaizkit bekoki gainean;Zuberotarra;Altzürükü;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Erdialdekoa;Amezketa;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Erdialdekoa;Andoain;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Nafarra;Aniz;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Aramaio;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Araotz (Oñati);False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Nafarra;Arbizu;False
ilea luzatzen zaidanean barekakol geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Armendaritze;False
ilea luzatzen zaidanean barekaakoil geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Armendaritze;False
ilea luzatzen zaidanean karakoil geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Armendaritze;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Arnegi;False
ilea luzatzen zaidanean barekorkoil geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Arrangoitze;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Arrasate;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Arrazola (Atxondo);False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Arrieta;False
ilea luzatzen zaidanean karkoll geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Arrueta;False
ilea luzatzen zaidanean kaakol geratzen zaizkit bekoki gainean;Erdialdekoa;Asteasu;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Erdialdekoa;Ataun;False
ilea luzatzen zaidanean barekurkullu geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Azkaine;False
ilea luzatzen zaidanean marrakulu geratzen zaizkit bekoki gainean;Erdialdekoa;Azkoitia;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Erdialdekoa;Azpeitia;False
ilea luzatzen zaidanean barekorkoil geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Baigorri;False
ilea luzatzen zaidanean karakola geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Baigorri;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Bakio;False
ilea luzatzen zaidanean kakoil geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Bardoze;False
ilea luzatzen zaidanean kakoil geratzen zaizkit bekoki gainean;Zuberotarra;Barkoxe;False
ilea luzatzen zaidanean bare geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Bastida;False
ilea luzatzen zaidanean karrakoil geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Bastida;False
ilea luzatzen zaidanean karakola geratzen zaizkit bekoki gainean;Erdialdekoa;Beasain;False
ilea luzatzen zaidanean kaakola geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Behorlegi;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Erdialdekoa;Beizama;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Bergara;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Bermeo;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Berriz;False
ilea luzatzen zaidanean kaakol geratzen zaizkit bekoki gainean;Nafarra;Beruete;False
ilea luzatzen zaidanean kaakol geratzen zaizkit bekoki gainean;Nafarra;Beruete;False
ilea luzatzen zaidanean kaakoil geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Beskoitze;False
ilea luzatzen zaidanean barekorkoil geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Bidarrai;False
ilea luzatzen zaidanean barraskillo geratzen zaizkit bekoki gainean;Mendebaldekoa;Busturia;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Deba;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Dima;False
ilea luzatzen zaidanean kakolla geratzen zaizkit bekoki gainean;Zuberotarra;Domintxaine;False
ilea luzatzen zaidanean karakola geratzen zaizkit bekoki gainean;Nafarra;Donamaria;False
ilea luzatzen zaidanean barekurkuilo geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Donibane Lohizune;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Nafarra;Dorrao / Torrano;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Elantxobe;False
ilea luzatzen zaidanean kakola geratzen zaizkit bekoki gainean;Erdialdekoa;Elduain;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Elgoibar;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Elorrio;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Erdialdekoa;Errezil;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Errigoiti;False
ilea luzatzen zaidanean kakoil geratzen zaizkit bekoki gainean;Zuberotarra;Eskiula;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Nafarra;Etxalar;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Nafarra;Etxaleku;False
ilea luzatzen zaidanean kaakol geratzen zaizkit bekoki gainean;Nafarra;Etxarri (Larraun);False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Nafarra;Eugi;False
ilea luzatzen zaidanean kaakola geratzen zaizkit bekoki gainean;Nafarra;Eugi;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Erdialdekoa;Ezkio-Itsaso;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Nafarra;Ezkurra;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Ezterenzubi;False
ilea luzatzen zaidanean kaakola geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Ezterenzubi;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Nafarra;Gaintza;False
ilea luzatzen zaidanean kakola geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Gamarte;False
ilea luzatzen zaidanean barekaakol geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Gamarte;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Gamiz-Fika;False
ilea luzatzen zaidanean baraskil geratzen zaizkit bekoki gainean;Mendebaldekoa;Gamiz-Fika;False
ilea luzatzen zaidanean maskulo geratzen zaizkit bekoki gainean;Mendebaldekoa;Gamiz-Fika;False
ilea luzatzen zaidanean kakolla geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Garrüze;False
ilea luzatzen zaidanean marrakillo geratzen zaizkit bekoki gainean;Erdialdekoa;Getaria;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Getxo;False
ilea luzatzen zaidanean barakílla geratzen zaizkit bekoki gainean;Mendebaldekoa;Getxo;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Gizaburuaga;False
ilea luzatzen zaidanean karakola geratzen zaizkit bekoki gainean;Nafarra;Goizueta;False
ilea luzatzen zaidanean kaakolda geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Hazparne;False
ilea luzatzen zaidanean barekurkull geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Hazparne;False
ilea luzatzen zaidanean kurkullu geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Hendaia;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Hendaia;False
ilea luzatzen zaidanean barekurkull geratzen zaizkit bekoki gainean;Erdialdekoa;Hondarribia;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Ibarruri (Muxika);False
ilea luzatzen zaidanean kaakol geratzen zaizkit bekoki gainean;Nafarra;Igoa;False
ilea luzatzen zaidanean karakola geratzen zaizkit bekoki gainean;Erdialdekoa;Ikaztegieta;False
ilea luzatzen zaidanean barekakol geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Irisarri;False
ilea luzatzen zaidanean karakoil geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Itsasu;False
ilea luzatzen zaidanean barekarakoil geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Izturitze;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Nafarra;Jaurrieta;False
ilea luzatzen zaidanean barekaakoil geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Jutsi;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Kortezubi;False
ilea luzatzen zaidanean barekaakoil geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Landibarre;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Larrabetzu;False
ilea luzatzen zaidanean kakoil geratzen zaizkit bekoki gainean;Zuberotarra;Larraine;False
ilea luzatzen zaidanean barekarakol geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Larzabale;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Laukiz;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Erdialdekoa;Legazpi;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Leintz Gatzaga;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Leioa;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Nafarra;Leitza;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Nafarra;Lekaroz;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Lekeitio;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Lemoa;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Lemoiz;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Nafarra;Luzaide / Valcarlos;False
ilea luzatzen zaidanean baekaakoil geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Makea;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Mañaria;False
ilea luzatzen zaidanean barakarrillo geratzen zaizkit bekoki gainean;Mendebaldekoa;Mañaria;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Mendaro;False
ilea luzatzen zaidanean marraskillo geratzen zaizkit bekoki gainean;Mendebaldekoa;Mendaro;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Mendata;False
ilea luzatzen zaidanean kakoll geratzen zaizkit bekoki gainean;Zuberotarra;Montori;False
ilea luzatzen zaidanean karkoll geratzen zaizkit bekoki gainean;Zuberotarra;Montori;False
ilea luzatzen zaidanean kaakoil geratzen zaizkit bekoki gainean;Nafar-Lapurtarra;Mugerre;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Mendebaldekoa;Mungia;False
ilea luzatzen zaidanean kaakol geratzen zaizkit bekoki gainean;Nafarra;Oderitz;False
ilea luzatzen zaidanean karakol geratzen zaizkit bekoki gainean;Erdialdekoa;Oiartzun;False
ilea luzatzen zaidanean marraskillo geratzen zaizkit bekoki gainean;Mendebaldekoa;Oñati;False
ilea luzatzen zaidanean maskulo geratzen zaizkit bekoki gainean;Mendebaldekoa;Ondarroa;False
