;Index;Tema;Pregunta;Lugar;Lema;Respuesta;Respuesta(Fon);Provincia;Dialectos;PalabraBase
170539;1027;Izen morfologia: izen arrunten deklinabide;a + a;Elduain;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170540;1027;Izen morfologia: izen arrunten deklinabide;a + a;Elgoibar;alába;alába;;Gipuzkoa;Mendebaldekoa;hija
170541;1027;Izen morfologia: izen arrunten deklinabide;a + a;Elgoibar;alabía;koskía;;Gipuzkoa;Mendebaldekoa;hija
170542;1027;Izen morfologia: izen arrunten deklinabide;a + a;Elgoibar;alabía;serría;;Gipuzkoa;Mendebaldekoa;hija
170543;1027;Izen morfologia: izen arrunten deklinabide;a + a;Elgoibar;alábia;illéria;;Gipuzkoa;Mendebaldekoa;hija
170544;1027;Izen morfologia: izen arrunten deklinabide;a + a;Elgoibar;alábia;goixágia;;Gipuzkoa;Mendebaldekoa;hija
170545;1027;Izen morfologia: izen arrunten deklinabide;a + a;Elgoibar;alábia;trángia;;Gipuzkoa;Mendebaldekoa;hija
170546;1027;Izen morfologia: izen arrunten deklinabide;a + a;Elgoibar;alábia;bentánia;;Gipuzkoa;Mendebaldekoa;hija
170547;1027;Izen morfologia: izen arrunten deklinabide;a + a;Elorrio;alábia;alábia;;Bizkaia;Mendebaldekoa;hija
170549;1027;Izen morfologia: izen arrunten deklinabide;a + a;Errezil;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170550;1027;Izen morfologia: izen arrunten deklinabide;a + a;Errigoiti;alábie;alábie;;Bizkaia;Mendebaldekoa;hija
170551;1027;Izen morfologia: izen arrunten deklinabide;a + a;Errigoiti;alábje;alábie;;Bizkaia;Mendebaldekoa;hija
170552;1027;Izen morfologia: izen arrunten deklinabide;a + a;Eskiula;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170553;1027;Izen morfologia: izen arrunten deklinabide;a + a;Etxalar;alába;alába;;Nafarroa;Nafarra;hija
170554;1027;Izen morfologia: izen arrunten deklinabide;a + a;Etxaleku;álabá;álabá;;Nafarroa;Nafarra;hija
170555;1027;Izen morfologia: izen arrunten deklinabide;a + a;Etxarri (Larraun);alába;alába;;Nafarroa;Nafarra;hija
170560;1027;Izen morfologia: izen arrunten deklinabide;a + a;Eugi;alába;alába;;Nafarroa;Nafarra;hija
170561;1027;Izen morfologia: izen arrunten deklinabide;a + a;Ezkio-Itsaso;alábá;alábá;;Gipuzkoa;Erdialdekoa;hija
170562;1027;Izen morfologia: izen arrunten deklinabide;a + a;Ezkurra;alába;alába;;Nafarroa;Nafarra;hija
170563;1027;Izen morfologia: izen arrunten deklinabide;a + a;Ezterenzubi;alába;alába;;NafarroaBehera;Nafar-Lapurtarra;hija
170564;1027;Izen morfologia: izen arrunten deklinabide;a + a;Gaintza;alába;alába;;Nafarroa;Nafarra;hija
170565;1027;Izen morfologia: izen arrunten deklinabide;a + a;Gamarte;alabá;alabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170566;1027;Izen morfologia: izen arrunten deklinabide;a + a;Gamiz-Fika;alabiá;alábiá;;Bizkaia;Mendebaldekoa;hija
170567;1027;Izen morfologia: izen arrunten deklinabide;a + a;Garrüze;alabá;alabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170568;1027;Izen morfologia: izen arrunten deklinabide;a + a;Getaria;alabá;alabá;;Gipuzkoa;Erdialdekoa;hija
170569;1027;Izen morfologia: izen arrunten deklinabide;a + a;Getxo;alabé;alabé;;Bizkaia;Mendebaldekoa;hija
170570;1027;Izen morfologia: izen arrunten deklinabide;a + a;Gizaburuaga;alabía;alabía;;Bizkaia;Mendebaldekoa;hija
170571;1027;Izen morfologia: izen arrunten deklinabide;a + a;Goizueta;alába;alába;;Nafarroa;Nafarra;hija
170572;1027;Izen morfologia: izen arrunten deklinabide;a + a;Hazparne;álaba;álaba;;Lapurdi;Nafar-Lapurtarra;hija
170573;1027;Izen morfologia: izen arrunten deklinabide;a + a;Hendaia;alabá;alabá;;Lapurdi;Nafar-Lapurtarra;hija
170575;1027;Izen morfologia: izen arrunten deklinabide;a + a;Hondarribia;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170576;1027;Izen morfologia: izen arrunten deklinabide;a + a;Ibarruri (Muxika);alabíe;alabíe;;Bizkaia;Mendebaldekoa;hija
170577;1027;Izen morfologia: izen arrunten deklinabide;a + a;Igoa;alába;alába;;Nafarroa;Nafarra;hija
170578;1027;Izen morfologia: izen arrunten deklinabide;a + a;Ikaztegieta;alaba;alaba;;Gipuzkoa;Erdialdekoa;hija
170579;1027;Izen morfologia: izen arrunten deklinabide;a + a;Irisarri;alabá;alabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170580;1027;Izen morfologia: izen arrunten deklinabide;a + a;Itsasu;alabá;alabá;;Lapurdi;Nafar-Lapurtarra;hija
170581;1027;Izen morfologia: izen arrunten deklinabide;a + a;Izturitze;alhába;alhába;;NafarroaBehera;Nafar-Lapurtarra;hija
170582;1027;Izen morfologia: izen arrunten deklinabide;a + a;Jaurrieta;alábara;alábara;;Nafarroa;Nafarra;hija
170583;1027;Izen morfologia: izen arrunten deklinabide;a + a;Jaurrieta;alábara;áitara;;Nafarroa;Nafarra;hija
170584;1027;Izen morfologia: izen arrunten deklinabide;a + a;Jutsi;alhába;alhába;;NafarroaBehera;Nafar-Lapurtarra;hija
170585;1027;Izen morfologia: izen arrunten deklinabide;a + a;Kortezubi;alabíe;alabíe;;Bizkaia;Mendebaldekoa;hija
170586;1027;Izen morfologia: izen arrunten deklinabide;a + a;Landibarre;alabá;alabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170587;1027;Izen morfologia: izen arrunten deklinabide;a + a;Larrabetzu;alábia;alábia;;Bizkaia;Mendebaldekoa;hija
170588;1027;Izen morfologia: izen arrunten deklinabide;a + a;Larraine;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170589;1027;Izen morfologia: izen arrunten deklinabide;a + a;Larraine;alabá;mardá;;Zuberoa;Zuberotarra;hija
170590;1027;Izen morfologia: izen arrunten deklinabide;a + a;Larraine;alabá;kharriká;;Zuberoa;Zuberotarra;hija
170591;1027;Izen morfologia: izen arrunten deklinabide;a + a;Larraine;alabá;kharriká;;Zuberoa;Zuberotarra;hija
170592;1027;Izen morfologia: izen arrunten deklinabide;a + a;Larzabale;alhába;alhába;;NafarroaBehera;Nafar-Lapurtarra;hija
170594;1027;Izen morfologia: izen arrunten deklinabide;a + a;Laukiz;álabe;álabe;;Bizkaia;Mendebaldekoa;hija
170595;1027;Izen morfologia: izen arrunten deklinabide;a + a;Legazpi;alabea;alabea;;Gipuzkoa;Erdialdekoa;hija
170596;1027;Izen morfologia: izen arrunten deklinabide;a + a;Legazpi;alaba;alaba;;Gipuzkoa;Erdialdekoa;hija
170597;1027;Izen morfologia: izen arrunten deklinabide;a + a;Leintz Gatzaga;alábia;alábia;;Gipuzkoa;Mendebaldekoa;hija
170598;1027;Izen morfologia: izen arrunten deklinabide;a + a;Leioa;alabeá;alabeá;;Bizkaia;Mendebaldekoa;hija
170599;1027;Izen morfologia: izen arrunten deklinabide;a + a;Leitza;alabá;alabá;;Nafarroa;Nafarra;hija
170600;1027;Izen morfologia: izen arrunten deklinabide;a + a;Lekaroz;alába;alába;;Nafarroa;Nafarra;hija
170601;1027;Izen morfologia: izen arrunten deklinabide;a + a;Lekeitio;alabía;alabía;;Bizkaia;Mendebaldekoa;hija
170602;1027;Izen morfologia: izen arrunten deklinabide;a + a;Lemoa;alabéa;alabéa;;Bizkaia;Mendebaldekoa;hija
170603;1027;Izen morfologia: izen arrunten deklinabide;a + a;Lemoiz;alabé;alabé;;Bizkaia;Mendebaldekoa;hija
170604;1027;Izen morfologia: izen arrunten deklinabide;a + a;Luzaide / Valcarlos;alabá;alabá;;Nafarroa;Nafarra;hija
170605;1027;Izen morfologia: izen arrunten deklinabide;a + a;Makea;alába;alába;;Lapurdi;Nafar-Lapurtarra;hija
170606;1027;Izen morfologia: izen arrunten deklinabide;a + a;Mañaria;alábié;alábié;;Bizkaia;Mendebaldekoa;hija
170607;1027;Izen morfologia: izen arrunten deklinabide;a + a;Mendaro;alába;alába;;Gipuzkoa;Mendebaldekoa;hija
170608;1027;Izen morfologia: izen arrunten deklinabide;a + a;Mendaro;alabiá;atákiá;;Gipuzkoa;Mendebaldekoa;hija
170609;1027;Izen morfologia: izen arrunten deklinabide;a + a;Mendata;alabíe;alabíe;;Bizkaia;Mendebaldekoa;hija
170611;1027;Izen morfologia: izen arrunten deklinabide;a + a;Montori;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170612;1027;Izen morfologia: izen arrunten deklinabide;a + a;Montori;álabá;bázuká;;Zuberoa;Zuberotarra;hija
170613;1027;Izen morfologia: izen arrunten deklinabide;a + a;Mugerre;alába;alába;;Lapurdi;Nafar-Lapurtarra;hija
170614;1027;Izen morfologia: izen arrunten deklinabide;a + a;Mungia;alabía;alabía;;Bizkaia;Mendebaldekoa;hija
170615;1027;Izen morfologia: izen arrunten deklinabide;a + a;Oderitz;álaba;álaba;;Nafarroa;Nafarra;hija
170616;1027;Izen morfologia: izen arrunten deklinabide;a + a;Oiartzun;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170617;1027;Izen morfologia: izen arrunten deklinabide;a + a;Oñati;alabía;alabía;;Gipuzkoa;Mendebaldekoa;hija
170618;1027;Izen morfologia: izen arrunten deklinabide;a + a;Ondarroa;alábi;alábi;;Bizkaia;Mendebaldekoa;hija
170619;1027;Izen morfologia: izen arrunten deklinabide;a + a;Orexa;alabá;alabá;;Gipuzkoa;Erdialdekoa;hija
170620;1027;Izen morfologia: izen arrunten deklinabide;a + a;Orio;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170621;1027;Izen morfologia: izen arrunten deklinabide;a + a;Orozko;alabéa;alabéa;;Bizkaia;Mendebaldekoa;hija
170622;1027;Izen morfologia: izen arrunten deklinabide;a + a;Otxandio;alabíe;alabíe;;Bizkaia;Mendebaldekoa;hija
170623;1027;Izen morfologia: izen arrunten deklinabide;a + a;Pagola;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170624;1027;Izen morfologia: izen arrunten deklinabide;a + a;Pasaia;alabá;alabá;;Gipuzkoa;Erdialdekoa;hija
170625;1027;Izen morfologia: izen arrunten deklinabide;a + a;Santa Grazi;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170626;1027;Izen morfologia: izen arrunten deklinabide;a + a;Sara;alába;alába;;Lapurdi;Nafar-Lapurtarra;hija
170627;1027;Izen morfologia: izen arrunten deklinabide;a + a;Senpere;alába;alába;;Lapurdi;Nafar-Lapurtarra;hija
170628;1027;Izen morfologia: izen arrunten deklinabide;a + a;Sohüta;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170629;1027;Izen morfologia: izen arrunten deklinabide;a + a;Sondika;alabéa;alabéa;;Bizkaia;Mendebaldekoa;hija
170630;1027;Izen morfologia: izen arrunten deklinabide;a + a;Suarbe;álabá;álabá;;Nafarroa;Nafarra;hija
170631;1027;Izen morfologia: izen arrunten deklinabide;a + a;Suarbe;alába;alába;;Nafarroa;Nafarra;hija
170632;1027;Izen morfologia: izen arrunten deklinabide;a + a;Sunbilla;alabá;alabá;;Nafarroa;Nafarra;hija
170633;1027;Izen morfologia: izen arrunten deklinabide;a + a;Tolosa;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170634;1027;Izen morfologia: izen arrunten deklinabide;a + a;Uharte Garazi;alabá;alabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170635;1027;Izen morfologia: izen arrunten deklinabide;a + a;Urdiain;alabiá;alabiá;;Nafarroa;Nafarra;hija
170636;1027;Izen morfologia: izen arrunten deklinabide;a + a;Urdiain;alabjá;alabiá;;Nafarroa;Nafarra;hija
170637;1027;Izen morfologia: izen arrunten deklinabide;a + a;Urdiñarbe;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170638;1027;Izen morfologia: izen arrunten deklinabide;a + a;Urketa;álabá;álabá;;Lapurdi;Nafar-Lapurtarra;hija
170639;1027;Izen morfologia: izen arrunten deklinabide;a + a;Urretxu;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170640;1027;Izen morfologia: izen arrunten deklinabide;a + a;Ürrüstoi;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170641;1027;Izen morfologia: izen arrunten deklinabide;a + a;Uztaritze;alába;alába;;Lapurdi;Nafar-Lapurtarra;hija
170642;1027;Izen morfologia: izen arrunten deklinabide;a + a;Zaratamo;alábia;alábia;;Bizkaia;Mendebaldekoa;hija
170643;1027;Izen morfologia: izen arrunten deklinabide;a + a;Zaratamo;alábie;alábie;;Bizkaia;Mendebaldekoa;hija
170644;1027;Izen morfologia: izen arrunten deklinabide;a + a;Zaratamo;alábje;alábie;;Bizkaia;Mendebaldekoa;hija
170645;1027;Izen morfologia: izen arrunten deklinabide;a + a;Zeanuri;alabéa;alabéa;;Bizkaia;Mendebaldekoa;hija
170646;1027;Izen morfologia: izen arrunten deklinabide;a + a;Zeberio;alabéa;alabéa;;Bizkaia;Mendebaldekoa;hija
170647;1027;Izen morfologia: izen arrunten deklinabide;a + a;Zegama;alabá;alabá;;Gipuzkoa;Erdialdekoa;hija
170648;1027;Izen morfologia: izen arrunten deklinabide;a + a;Zilbeti;alába;alába;;Nafarroa;Nafarra;hija
170651;1027;Izen morfologia: izen arrunten deklinabide;a + a;Zornotza;alabíe;alabíe;;Bizkaia;Mendebaldekoa;hija
170652;1027;Izen morfologia: izen arrunten deklinabide;a + a;Zugarramurdi;alába;alába;;Nafarroa;Nafarra;hija
170655;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Ahetze;alabák;alabák;;Lapurdi;Nafar-Lapurtarra;hija
170656;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Aia;alabák;alabák;;Gipuzkoa;Erdialdekoa;hija
170657;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Aldude;alábak;alábak;;NafarroaBehera;Nafar-Lapurtarra;hija
170658;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Alkotz;alábak;alábag;;Nafarroa;Nafarra;hija
170659;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Altzai;alhabák;alhabák;;Zuberoa;Zuberotarra;hija
170660;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Altzürükü;alhabák;alhabák;;Zuberoa;Zuberotarra;hija
170661;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Amezketa;alabák;alabák;;Gipuzkoa;Erdialdekoa;hija
170662;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Andoain;alabák;alabák;;Gipuzkoa;Erdialdekoa;hija
170663;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Aniz;álabák;álabák;;Nafarroa;Nafarra;hija
170664;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Aramaio;álabak;álabak;;Araba;Mendebaldekoa;hija
170665;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Araotz (Oñati);alábak;alábak;;Gipuzkoa;Mendebaldekoa;hija
170666;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Arbizu;álabak;álabak;;Nafarroa;Nafarra;hija
170668;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Armendaritze;alabák;alabák;;NafarroaBehera;Nafar-Lapurtarra;hija
170669;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Arnegi;alabák;alabák;;NafarroaBehera;Nafar-Lapurtarra;hija
170670;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Arrangoitze;alabák;alabák;;Lapurdi;Nafar-Lapurtarra;hija
170671;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Arrasate;álabak;álabak;;Gipuzkoa;Mendebaldekoa;hija
170672;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Arrazola (Atxondo);alábak;alábak;;Bizkaia;Mendebaldekoa;hija
170673;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Arrieta;alábak;alábak;;Bizkaia;Mendebaldekoa;hija
170675;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Arrueta;álabák;álabák;;NafarroaBehera;Nafar-Lapurtarra;hija
170676;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Asteasu;alabák;alabák;;Gipuzkoa;Erdialdekoa;hija
170677;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Ataun;álabák;álabák;;Gipuzkoa;Erdialdekoa;hija
170678;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Azkaine;alábak;alábak;;Lapurdi;Nafar-Lapurtarra;hija
170679;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Azkaine;alabák;alabák;;Lapurdi;Nafar-Lapurtarra;hija
170680;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Azkoitia;alábak;alábak;;Gipuzkoa;Erdialdekoa;hija
170681;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Azpeitia;alábak;alábak;;Gipuzkoa;Erdialdekoa;hija
170682;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Baigorri;alabák;alabák;;NafarroaBehera;Nafar-Lapurtarra;hija
170683;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Bakio;álabak;álabak;;Bizkaia;Mendebaldekoa;hija
170684;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Bardoze;alabák;alabák;;Lapurdi;Nafar-Lapurtarra;hija
170685;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Barkoxe;alhabák;alhabák;;Zuberoa;Zuberotarra;hija
170686;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Bastida;alhabák;alhabák;;NafarroaBehera;Nafar-Lapurtarra;hija
170687;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Beasain;alabág;alabág;;Gipuzkoa;Erdialdekoa;hija
170688;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Behorlegi;alabák;alabák;;NafarroaBehera;Nafar-Lapurtarra;hija
170689;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Beizama;alabák;alabák;;Gipuzkoa;Erdialdekoa;hija
170690;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Bergara;alábak;alábak;;Gipuzkoa;Mendebaldekoa;hija
170691;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Bermeo;alábak;alábak;;Bizkaia;Mendebaldekoa;hija
170692;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Berriz;alabák;alabák;;Bizkaia;Mendebaldekoa;hija
170693;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Beruete;álabak;álabak;;Nafarroa;Nafarra;hija
170694;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Beskoitze;alabák;alabák;;Lapurdi;Nafar-Lapurtarra;hija
170695;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Bidarrai;alabák;alabák;;NafarroaBehera;Nafar-Lapurtarra;hija
170697;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Busturia;alábak;alábak;;Bizkaia;Mendebaldekoa;hija
170698;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Deba;alabák;alabák;;Gipuzkoa;Mendebaldekoa;hija
170699;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Dima;álabak;álabak;;Bizkaia;Mendebaldekoa;hija
170700;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Domintxaine;alabák;alabák;;Zuberoa;Zuberotarra;hija
170701;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Donamaria;alabák;alabák;;Nafarroa;Nafarra;hija
170702;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Donibane Lohizune;neskák;neskák;;Lapurdi;Nafar-Lapurtarra;hija
170704;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Dorrao / Torrano;alabák;alabák;;Nafarroa;Nafarra;hija
170706;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Elantxobe;alábak;alábak;;Bizkaia;Mendebaldekoa;hija
170707;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Elduain;alábak;alábak;;Gipuzkoa;Erdialdekoa;hija
170708;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Elgoibar;alabák;alabák;;Gipuzkoa;Mendebaldekoa;hija
170709;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Elorrio;álabak;álabak;;Bizkaia;Mendebaldekoa;hija
170711;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Errezil;alabák;alabák;;Gipuzkoa;Erdialdekoa;hija
170712;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Errigoiti;alábak;alábak;;Bizkaia;Mendebaldekoa;hija
170713;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Eskiula;alhabák;alhabák;;Zuberoa;Zuberotarra;hija
170714;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Etxalar;alábak;alábag;;Nafarroa;Nafarra;hija
170715;1028;Izen morfologia: izen arrunten deklinabide;a + ak;Etxaleku;álabák;álabák;;Nafarroa;Nafarra;hija
