;Index;Tema;Pregunta;Lugar;Lema;Respuesta;Respuesta(Fon);Provincia;Dialectos;PalabraBase
170527;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Busturia;alabíe;alabíe;;Bizkaia;Mendebaldekoa;hija
170528;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Deba;alabá;alabá;;Gipuzkoa;Mendebaldekoa;hija
170529;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Dima;alabéa;alabéa;;Bizkaia;Mendebaldekoa;hija
170530;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Domintxaine;alabá;alabá;;Zuberoa;Zuberotarra;hija
170531;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Donamaria;alába;alába;;Nafarroa;Nafarra;hija
170532;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Donibane Lohizune;alabá;alabá;;Lapurdi;Nafar-Lapurtarra;hija
170534;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Dorrao / Torrano;álabá;álabá;;Nafarroa;Nafarra;hija
170535;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Dorrao / Torrano;álabá;álabá;;Nafarroa;Nafarra;hija
170538;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Elantxobe;alabíe;alabíe;;Bizkaia;Mendebaldekoa;hija
170539;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Elduain;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170540;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Elgoibar;alába;alába;;Gipuzkoa;Mendebaldekoa;hija
170541;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Elgoibar;alabía;koskía;;Gipuzkoa;Mendebaldekoa;hija
170542;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Elgoibar;alabía;serría;;Gipuzkoa;Mendebaldekoa;hija
170543;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Elgoibar;alábia;illéria;;Gipuzkoa;Mendebaldekoa;hija
170544;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Elgoibar;alábia;goixágia;;Gipuzkoa;Mendebaldekoa;hija
170545;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Elgoibar;alábia;trángia;;Gipuzkoa;Mendebaldekoa;hija
170546;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Elgoibar;alábia;bentánia;;Gipuzkoa;Mendebaldekoa;hija
170547;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Elorrio;alábia;alábia;;Bizkaia;Mendebaldekoa;hija
170549;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Errezil;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170550;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Errigoiti;alábie;alábie;;Bizkaia;Mendebaldekoa;hija
170551;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Errigoiti;alábje;alábie;;Bizkaia;Mendebaldekoa;hija
170552;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Eskiula;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170553;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Etxalar;alába;alába;;Nafarroa;Nafarra;hija
170554;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Etxaleku;álabá;álabá;;Nafarroa;Nafarra;hija
170555;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Etxarri (Larraun);alába;alába;;Nafarroa;Nafarra;hija
170560;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Eugi;alába;alába;;Nafarroa;Nafarra;hija
170561;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Ezkio-Itsaso;alábá;alábá;;Gipuzkoa;Erdialdekoa;hija
170562;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Ezkurra;alába;alába;;Nafarroa;Nafarra;hija
170563;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Ezterenzubi;alába;alába;;NafarroaBehera;Nafar-Lapurtarra;hija
170564;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Gaintza;alába;alába;;Nafarroa;Nafarra;hija
170565;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Gamarte;alabá;alabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170566;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Gamiz-Fika;alabiá;alábiá;;Bizkaia;Mendebaldekoa;hija
170567;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Garrüze;alabá;alabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170568;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Getaria;alabá;alabá;;Gipuzkoa;Erdialdekoa;hija
170569;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Getxo;alabé;alabé;;Bizkaia;Mendebaldekoa;hija
170570;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Gizaburuaga;alabía;alabía;;Bizkaia;Mendebaldekoa;hija
170571;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Goizueta;alába;alába;;Nafarroa;Nafarra;hija
170572;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Hazparne;álaba;álaba;;Lapurdi;Nafar-Lapurtarra;hija
170573;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Hendaia;alabá;alabá;;Lapurdi;Nafar-Lapurtarra;hija
170575;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Hondarribia;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170576;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Ibarruri (Muxika);alabíe;alabíe;;Bizkaia;Mendebaldekoa;hija
170577;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Igoa;alába;alába;;Nafarroa;Nafarra;hija
170578;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Ikaztegieta;alaba;alaba;;Gipuzkoa;Erdialdekoa;hija
170579;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Irisarri;alabá;alabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170580;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Itsasu;alabá;alabá;;Lapurdi;Nafar-Lapurtarra;hija
170581;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Izturitze;alhába;alhába;;NafarroaBehera;Nafar-Lapurtarra;hija
170582;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Jaurrieta;alábara;alábara;;Nafarroa;Nafarra;hija
170583;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Jaurrieta;alábara;áitara;;Nafarroa;Nafarra;hija
170584;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Jutsi;alhába;alhába;;NafarroaBehera;Nafar-Lapurtarra;hija
170585;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Kortezubi;alabíe;alabíe;;Bizkaia;Mendebaldekoa;hija
170586;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Landibarre;alabá;alabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170587;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Larrabetzu;alábia;alábia;;Bizkaia;Mendebaldekoa;hija
170588;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Larraine;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170589;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Larraine;alabá;mardá;;Zuberoa;Zuberotarra;hija
170590;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Larraine;alabá;kharriká;;Zuberoa;Zuberotarra;hija
170591;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Larraine;alabá;kharriká;;Zuberoa;Zuberotarra;hija
170592;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Larzabale;alhába;alhába;;NafarroaBehera;Nafar-Lapurtarra;hija
170594;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Laukiz;álabe;álabe;;Bizkaia;Mendebaldekoa;hija
170595;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Legazpi;alabea;alabea;;Gipuzkoa;Erdialdekoa;hija
170596;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Legazpi;alaba;alaba;;Gipuzkoa;Erdialdekoa;hija
170597;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Leintz Gatzaga;alábia;alábia;;Gipuzkoa;Mendebaldekoa;hija
170598;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Leioa;alabeá;alabeá;;Bizkaia;Mendebaldekoa;hija
170599;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Leitza;alabá;alabá;;Nafarroa;Nafarra;hija
170600;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Lekaroz;alába;alába;;Nafarroa;Nafarra;hija
170601;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Lekeitio;alabía;alabía;;Bizkaia;Mendebaldekoa;hija
170602;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Lemoa;alabéa;alabéa;;Bizkaia;Mendebaldekoa;hija
170603;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Lemoiz;alabé;alabé;;Bizkaia;Mendebaldekoa;hija
170604;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Luzaide / Valcarlos;alabá;alabá;;Nafarroa;Nafarra;hija
170605;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Makea;alába;alába;;Lapurdi;Nafar-Lapurtarra;hija
170606;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Mañaria;alábié;alábié;;Bizkaia;Mendebaldekoa;hija
170607;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Mendaro;alába;alába;;Gipuzkoa;Mendebaldekoa;hija
170608;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Mendaro;alabiá;atákiá;;Gipuzkoa;Mendebaldekoa;hija
170609;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Mendata;alabíe;alabíe;;Bizkaia;Mendebaldekoa;hija
170611;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Montori;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170612;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Montori;álabá;bázuká;;Zuberoa;Zuberotarra;hija
170613;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Mugerre;alába;alába;;Lapurdi;Nafar-Lapurtarra;hija
170614;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Mungia;alabía;alabía;;Bizkaia;Mendebaldekoa;hija
170615;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Oderitz;álaba;álaba;;Nafarroa;Nafarra;hija
170616;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Oiartzun;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170617;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Oñati;alabía;alabía;;Gipuzkoa;Mendebaldekoa;hija
170618;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Ondarroa;alábi;alábi;;Bizkaia;Mendebaldekoa;hija
170619;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Orexa;alabá;alabá;;Gipuzkoa;Erdialdekoa;hija
170620;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Orio;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170621;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Orozko;alabéa;alabéa;;Bizkaia;Mendebaldekoa;hija
170622;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Otxandio;alabíe;alabíe;;Bizkaia;Mendebaldekoa;hija
170623;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Pagola;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170624;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Pasaia;alabá;alabá;;Gipuzkoa;Erdialdekoa;hija
170625;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Santa Grazi;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170626;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Sara;alába;alába;;Lapurdi;Nafar-Lapurtarra;hija
170627;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Senpere;alába;alába;;Lapurdi;Nafar-Lapurtarra;hija
170628;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Sohüta;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170629;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Sondika;alabéa;alabéa;;Bizkaia;Mendebaldekoa;hija
170630;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Suarbe;álabá;álabá;;Nafarroa;Nafarra;hija
170631;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Suarbe;alába;alába;;Nafarroa;Nafarra;hija
170632;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Sunbilla;alabá;alabá;;Nafarroa;Nafarra;hija
170633;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Tolosa;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170634;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Uharte Garazi;alabá;alabá;;NafarroaBehera;Nafar-Lapurtarra;hija
170635;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Urdiain;alabiá;alabiá;;Nafarroa;Nafarra;hija
170636;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Urdiain;alabjá;alabiá;;Nafarroa;Nafarra;hija
170637;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Urdiñarbe;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170638;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Urketa;álabá;álabá;;Lapurdi;Nafar-Lapurtarra;hija
170639;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Urretxu;alába;alába;;Gipuzkoa;Erdialdekoa;hija
170640;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Ürrüstoi;alhabá;alhabá;;Zuberoa;Zuberotarra;hija
170641;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Uztaritze;alába;alába;;Lapurdi;Nafar-Lapurtarra;hija
170642;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Zaratamo;alábia;alábia;;Bizkaia;Mendebaldekoa;hija
170643;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Zaratamo;alábie;alábie;;Bizkaia;Mendebaldekoa;hija
170644;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Zaratamo;alábje;alábie;;Bizkaia;Mendebaldekoa;hija
170645;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Zeanuri;alabéa;alabéa;;Bizkaia;Mendebaldekoa;hija
170646;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Zeberio;alabéa;alabéa;;Bizkaia;Mendebaldekoa;hija
170647;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Zegama;alabá;alabá;;Gipuzkoa;Erdialdekoa;hija
170648;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Zilbeti;alába;alába;;Nafarroa;Nafarra;hija
170651;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Zornotza;alabíe;alabíe;;Bizkaia;Mendebaldekoa;hija
170652;1027;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Zugarramurdi;alába;alába;;Nafarroa;Nafarra;hija
170655;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Ahetze;alabák;alabák;;Lapurdi;Nafar-Lapurtarra;hija
170656;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Aia;alabák;alabák;;Gipuzkoa;Erdialdekoa;hija
170657;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Aldude;alábak;alábak;;NafarroaBehera;Nafar-Lapurtarra;hija
170658;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Alkotz;alábak;alábag;;Nafarroa;Nafarra;hija
170659;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Altzai;alhabák;alhabák;;Zuberoa;Zuberotarra;hija
170660;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Altzürükü;alhabák;alhabák;;Zuberoa;Zuberotarra;hija
170661;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Amezketa;alabák;alabák;;Gipuzkoa;Erdialdekoa;hija
170662;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Andoain;alabák;alabák;;Gipuzkoa;Erdialdekoa;hija
170663;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Aniz;álabák;álabák;;Nafarroa;Nafarra;hija
170664;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Aramaio;álabak;álabak;;Araba;Mendebaldekoa;hija
170665;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Araotz (Oñati);alábak;alábak;;Gipuzkoa;Mendebaldekoa;hija
170666;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Arbizu;álabak;álabak;;Nafarroa;Nafarra;hija
170668;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Armendaritze;alabák;alabák;;NafarroaBehera;Nafar-Lapurtarra;hija
170669;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Arnegi;alabák;alabák;;NafarroaBehera;Nafar-Lapurtarra;hija
170670;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Arrangoitze;alabák;alabák;;Lapurdi;Nafar-Lapurtarra;hija
170671;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Arrasate;álabak;álabak;;Gipuzkoa;Mendebaldekoa;hija
170672;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Arrazola (Atxondo);alábak;alábak;;Bizkaia;Mendebaldekoa;hija
170673;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Arrieta;alábak;alábak;;Bizkaia;Mendebaldekoa;hija
170675;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Arrueta;álabák;álabák;;NafarroaBehera;Nafar-Lapurtarra;hija
170676;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Asteasu;alabák;alabák;;Gipuzkoa;Erdialdekoa;hija
170677;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Ataun;álabák;álabák;;Gipuzkoa;Erdialdekoa;hija
170678;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Azkaine;alábak;alábak;;Lapurdi;Nafar-Lapurtarra;hija
170679;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Azkaine;alabák;alabák;;Lapurdi;Nafar-Lapurtarra;hija
170680;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Azkoitia;alábak;alábak;;Gipuzkoa;Erdialdekoa;hija
170681;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Azpeitia;alábak;alábak;;Gipuzkoa;Erdialdekoa;hija
170682;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Baigorri;alabák;alabák;;NafarroaBehera;Nafar-Lapurtarra;hija
170683;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Bakio;álabak;álabak;;Bizkaia;Mendebaldekoa;hija
170684;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Bardoze;alabák;alabák;;Lapurdi;Nafar-Lapurtarra;hija
170685;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Barkoxe;alhabák;alhabák;;Zuberoa;Zuberotarra;hija
170686;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Bastida;alhabák;alhabák;;NafarroaBehera;Nafar-Lapurtarra;hija
170687;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Beasain;alabág;alabág;;Gipuzkoa;Erdialdekoa;hija
170688;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Behorlegi;alabák;alabák;;NafarroaBehera;Nafar-Lapurtarra;hija
170689;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Beizama;alabák;alabák;;Gipuzkoa;Erdialdekoa;hija
170690;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Bergara;alábak;alábak;;Gipuzkoa;Mendebaldekoa;hija
170691;1028;Izen morfologia: izen arrunten deklinabide;#¿NOMBRE?;Bermeo;alábak;alábak;;Bizkaia;Mendebaldekoa;hija
